speciesId	compartment	initialConcentration	annotation	Source Mapping	HGNC	Annotation	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15
cyt_prot_FGF__FGFR_	Cytoplasm	3.01E-16	P21781, P21802, P12034, P11362, Q9HCT0, O76093, O95750, O43320, P61328, Q9NP95, Q9GZV9, P05230, Q9NSA1, O60258, O15520, Q92915, P10767, P55075, P09038, P31371, Q92913, P08620, P11487, Q92914	FFr	FGF1, FGF2, FGFR1, FGFR2	ENSG00000113578	ENSG00000138685	ENSG00000077782	ENSG00000066468								
cyt_prot_EGF__EGFR__ERBB2_	Cytoplasm	1.72E-16	P01133, P00533, P04626	EE1E2	EGF, EGFR, ERBB2	ENSG00000138798	ENSG00000146648	ENSG00000141736									
cyt_prot_EGF__EGFR__EGFRvIII_	Cytoplasm	6.31E-28	P01133, P00533, VAR_066493	EE1Ev3	EGF, EGFR	ENSG00000138798	ENSG00000146648										
cyt_prot_EGF__EGFR__EGFR_	Cytoplasm	4.30E-16	P01133, P00533	EE1E1	EGF, EGFR	ENSG00000138798	ENSG00000146648										
cyt_prot_EGF__EGFR__ERBB3_	Cytoplasm	7.78E-17	P01133, P00533, P21860	EE1E3	EGF, EGFR, ERBB3	ENSG00000138798	ENSG00000146648	ENSG00000065361									
cyt_prot_EGF__EGFR__ERBB4_	Cytoplasm	9.32E-45	P01133, P00533, Q15303	EE1E4	EGF, EGFR, ERBB4	ENSG00000138798	ENSG00000146648	ENSG00000178568									
cyt_prot_ERBB2__NRG1__ERBB3_	Cytoplasm	5.38E-16	P04626, Q02297, P21860	E2HE3	ERBB2, NRG1, ERBB3	ENSG00000141736	ENSG00000157168	ENSG00000065361									
cyt_prot_EGFR__NRG1__ERBB3_	Cytoplasm	6.26E-15	P00533, Q02297, P21860	E1HE3	EGFR, NRG1, ERBB3	ENSG00000146648	ENSG00000157168	ENSG00000065361									
cyt_prot_NRG1__ERBB3__ERBB3_	Cytoplasm	2.71E-16	Q02297, P21860	HE3E3	NRG1, ERBB3	ENSG00000157168	ENSG00000065361										
cyt_prot_NRG1__ERBB3__EGFRvIII_	Cytoplasm	7.15E-27	Q02297, P21860	HE3Ev3	NRG1, ERBB3	ENSG00000157168	ENSG00000065361										
cyt_prot_NRG1__ERBB3__ERBB4_	Cytoplasm	1.12E-43	Q02297, P21860, Q15303	HE3E4	NRG1, ERBB3, ERBB4	ENSG00000157168	ENSG00000065361	ENSG00000178568									
cyt_prot_ERBB2__NRG1__ERBB4_	Cytoplasm	2.25E-43	P04626, Q02297, Q15303	E2HE4	ERBB2, NRG1, ERBB4	ENSG00000141736	ENSG00000157168	ENSG00000178568									
cyt_prot_NRG1__ERBB4__EGFRvIII_	Cytoplasm	3.00E-54	Q02297, Q15303	HE4Ev3	NRG1, ERBB4	ENSG00000157168	ENSG00000178568										
cyt_prot_EGFR__NRG1__ERBB4_	Cytoplasm	2.62E-42	P00533, Q02297, Q15303	E1HE4	EGFR, NRG1, ERBB4	ENSG00000146648	ENSG00000157168	ENSG00000178568									
cyt_prot_ERBB3__NRG1__ERBB4_	Cytoplasm	1.04E-43	P21860, Q02297, Q15303	E3HE4	ERBB3, NRG1, ERBB4	ENSG00000065361	ENSG00000157168	ENSG00000178568									
cyt_prot_NRG1__ERBB4__ERBB4_	Cytoplasm	4.36E-71	Q02297, Q15303	HE4E4	NRG1, ERBB4	ENSG00000157168	ENSG00000178568										
cyt_prot_HGF__MET__MET_	Cytoplasm	5.23E-13	P14210, P08581	HGF_Met_Met	HGF, MET	ENSG00000019991	ENSG00000105976										
cyt_prot_PDGFB__PDGFRB__PDGFRB_	Cytoplasm	3.21E-38	P16234, P01127, P04085, P09619, P01133	PPrPr	PDGFB, PDGFRA, PDGFRB	ENSG00000100311	ENSG00000134853	ENSG00000113721									
cyt_prot_FGF__FGFR__FGFR_	Cytoplasm	4.94E-16	P21781, P21802, P12034, P11362, Q9HCT0, O76093, O95750, O43320, P61328, Q9NP95, Q9GZV9, P05230, Q9NSA1, O60258, O15520, Q92915, P10767, P55075, P09038, P31371, Q92913, P08620, P11487, Q92914	FFrFr	FGF1, FGF2, FGFR1, FGFR2	ENSG00000113578	ENSG00000138685	ENSG00000077782	ENSG00000066468								
cyt_prot_IGF__IGF1R__IGF1R_	Cytoplasm	5.14E-19	P05019, P01344, P08069	IIrIr	IGF1, IGF2, IGF1R	ENSG00000017427	ENSG00000167244	ENSG00000140443									
cyt_prot_INS__INSR__INSR_	Cytoplasm	6.87E-17	P01308, P06213	INS_Isr_Isr	INS, INSR	ENSG00000254647	ENSG00000171105										
cyt_prot_EGF__EGFR__EGF__EGFR_	Cytoplasm	1.01E-33	P01133, P00533	EE1EE1	EGF, EGFR	ENSG00000138798	ENSG00000146648										
cyt_prot_EGF__EGFR__NRG1__ERBB3_	Cytoplasm	4.04E-32	P01133, P00533, Q02297, P21860	EE1HE3	EGF, EGFR, NRG1, ERBB3	ENSG00000138798	ENSG00000146648	ENSG00000157168	ENSG00000065361								
cyt_prot_EGF__EGFR__NRG1__ERBB4_	Cytoplasm	1.00E-59	P01133, P00533, Q02297,Q15303	EE1HE4	EGF, EGFR, NRG1, ERBB4	ENSG00000138798	ENSG00000146648	ENSG00000157168	ENSG00000178568								
cyt_prot_NRG1__ERBB3__NRG1__ERBB3_	Cytoplasm	9.23E-32	Q02297, P21860	HE3HE3	NRG1, ERBB3	ENSG00000157168	ENSG00000065361										
cyt_prot_NRG1__ERBB3__NRG1__ERBB4_	Cytoplasm	7.00E-59	Q02297, P21860, Q15303	HE3HE4	NRG1, ERBB3, ERBB4	ENSG00000157168	ENSG00000065361	ENSG00000178568									
cyt_prot_NRG1__ERBB4__NRG1__ERBB4_	Cytoplasm	1.49E-86	Q02297, Q15303	HE4HE4	NRG1, ERBB4	ENSG00000157168	ENSG00000178568										
cyt_prot_HGF__MET__HGF__MET_	Cytoplasm	8.32E-27	P14220, P08581, P14210	HGF_Met_HGF_Met	HGF, MET	ENSG00000019991	ENSG00000105976										
cyt_prot_PDGFB__PDGFRB__PDGFB__PDGFRB_	Cytoplasm	2.15E-41	P16234, P04085, P48763, P09619, P01133	PPrPPr	PDGFB, PDGFRA, PDGFRB	ENSG00000100311	ENSG00000134853	ENSG00000113721									
cyt_prot_FGF__FGFR__FGF__FGFR_	Cytoplasm	2.17E-31	P21781, P21802, P12034, P11362, Q9HCT0, O76093, O95750, O43320, P61328, Q9NP95, Q9GZV9, P05230, Q9NSA1, O60258, O15520, Q92915, P10767, P55075, P09038, P31371, Q92913, P08620, P11487, Q92914	FFrFFr	FGF1, FGF2, FGFR1, FGFR2	ENSG00000113578	ENSG00000138685	ENSG00000077782	ENSG00000066468								
cyt_prot_IGF__IGF1R__IGF__IGF1R_	Cytoplasm	6.08E-38	P05019, , P01344, P08069	IIrIrI	IGF1, IGF2, IGF1R	ENSG00000017427	ENSG00000167244	ENSG00000140443									
cyt_prot_INS__INSR__INS__INSR_	Cytoplasm	3.16E-34	P01308, P06213	INS_Isr_Isr_INS	INS, INSR	ENSG00000254647	ENSG00000171105										
cyt_prot_EGFR__p_p_MAPK_	Cytoplasm	0.4955557535	P00533, P28482, Q16644	E1_ppERK	EGFR, MAPK1, MAPK3	ENSG00000146648	ENSG00000100030	ENSG00000102882									
cyt_prot_ERBB2__p_p_MAPK_	Cytoplasm	0.03762098543	P04626, P28482, Q16644	E2_ppERK	ERBB2, MAPK1, MAPK3	ENSG00000141736	ENSG00000100030	ENSG00000102882									
cyt_prot_ERBB4__p_p_MAPK_	Cytoplasm	7.18E-30	Q15303, P28482, Q16644	E4_ppERK	ERBB4, MAPK1, MAPK3	ENSG00000178568	ENSG00000100030	ENSG00000102882									
cyt_prot_p_EGF__EGFR__ERBB2_	Cytoplasm	1.71E-16	P01133, P00533, P04626	pEE1E2	EGF, EGFR, ERBB2	ENSG00000138798	ENSG00000146648	ENSG00000141736									
cyt_prot_p_EGF__EGFR__EGFRvIII_	Cytoplasm	6.29E-28	P01133, P00533	pEE1Ev3	EGF, EGFR	ENSG00000138798	ENSG00000146648										
cyt_prot_p_EGF__EGFR__EGFR_	Cytoplasm	4.24E-16	P01133, P00533	pEE1E1	EGF, EGFR	ENSG00000138798	ENSG00000146648										
cyt_prot_p_EGF__EGFR__EGF__EGFR_	Cytoplasm	9.94E-34	P01133, P00533	pEE1EE1	EGF, EGFR	ENSG00000138798	ENSG00000146648										
cyt_prot_p_EGF__EGFR__ERBB3_	Cytoplasm	7.74E-17	P01133, P00533, P21860	pEE1E3	EGF, EGFR, ERBB3	ENSG00000138798	ENSG00000146648	ENSG00000065361									
cyt_prot_p_EGF__EGFR__NRG1__ERBB3_	Cytoplasm	4.02E-32	P01133, P00533, Q02297, P21860	pEE1HE3	EGF, EGFR, NRG1, ERBB3	ENSG00000138798	ENSG00000146648	ENSG00000157168	ENSG00000065361								
cyt_prot_p_EGF__EGFR__ERBB4_	Cytoplasm	9.28E-45	P01133, P00533, Q15303	pEE1E4	EGF, EGFR, ERBB4	ENSG00000138798	ENSG00000146648	ENSG00000178568									
cyt_prot_p_EGF__EGFR__NRG1__ERBB4_	Cytoplasm	1.00E-59	P01133, P00533, Q02297, Q15303	pEE1HE4	EGF, EGFR, NRG1, ERBB4	ENSG00000138798	ENSG00000146648	ENSG00000157168	ENSG00000178568								
cyt_prot_p_ERBB2__NRG1__ERBB3_	Cytoplasm	5.37E-16	P04626, Q02297, P21860	pE2HE3	ERBB2, NRG1, ERBB3	ENSG00000141736	ENSG00000157168	ENSG00000065361									
cyt_prot_p_NRG1__ERBB3__EGFRvIII_	Cytoplasm	7.15E-27	Q02297, P21860	pHE3Ev3	NRG1, ERBB3	ENSG00000157168	ENSG00000065361										
cyt_prot_p_EGFR__NRG1__ERBB3_	Cytoplasm	6.23E-15	P00533, Q02297, P21860	pE1HE3	EGFR, NRG1, ERBB3	ENSG00000146648	ENSG00000157168	ENSG00000065361									
cyt_prot_p_NRG1__ERBB3__ERBB4_	Cytoplasm	1.12E-43	Q02297, P21860, Q15303	pHE3E4	NRG1, ERBB3, ERBB4	ENSG00000157168	ENSG00000065361	ENSG00000178568									
cyt_prot_p_NRG1__ERBB3__NRG1__ERBB4_	Cytoplasm	7.00E-59	Q02297, P21860, Q15303	pHE3HE4	NRG1, ERBB3, ERBB4	ENSG00000157168	ENSG00000065361	ENSG00000178568									
cyt_prot_p_ERBB2__NRG1__ERBB4_	Cytoplasm	2.25E-43	P04626, Q15303, Q02297, P02297	pE2HE4	ERBB2, NRG1, ERBB4	ENSG00000141736	ENSG00000157168	ENSG00000178568									
cyt_prot_p_NRG1__ERBB4__EGFRvIII_	Cytoplasm	3.00E-54	Q02297, Q15303	pHE4Ev3	NRG1, ERBB4	ENSG00000157168	ENSG00000178568										
cyt_prot_p_EGFR__NRG1__ERBB4_	Cytoplasm	2.61E-42	P00533, Q02297, Q15303	pE1HE4	EGFR, NRG1, ERBB4	ENSG00000146648	ENSG00000157168	ENSG00000178568									
cyt_prot_p_ERBB3__NRG1__ERBB4_	Cytoplasm	1.04E-43	P21860, Q02297, Q15303	pE3HE4	ERBB3, NRG1, ERBB4	ENSG00000065361	ENSG00000157168	ENSG00000178568									
cyt_prot_p_NRG1__ERBB4__ERBB4_	Cytoplasm	4.35E-71	Q02297, Q15303	pHE4E4	NRG1, ERBB4	ENSG00000157168	ENSG00000178568										
cyt_prot_p_NRG1__ERBB4__NRG1__ERBB4_	Cytoplasm	1.49E-86	Q02297, Q15303	pHE4HE4	NRG1, ERBB4	ENSG00000157168	ENSG00000178568										
cyt_prot_p_HGF__MET__MET_	Cytoplasm	5.22E-13	P14210, P08581	pHGF_Met_Met	HGF, MET	ENSG00000019991	ENSG00000105976										
cyt_prot_p_HGF__MET__HGF__MET_	Cytoplasm	8.31E-27	P14210, P08581	pHGF_Met_HGF_Met	HGF, MET	ENSG00000019991	ENSG00000105976										
cyt_prot_p_PDGFB__PDGFRB__PDGFB__PDGFB_	Cytoplasm	2.15E-41	P16234, P01127, P04085, P09619, P01133	pPPrPPr	PDGFB, PDGFRA, PDGFRB	ENSG00000100311	ENSG00000134853	ENSG00000113721									
cyt_prot_p_PDGFB__PDGFRB__PDGFRB_	Cytoplasm	3.21E-38	P16234, P01127, P04085, P09619, P01133	pPPrPr	PDGFB, PDGFRA, PDGFRB	ENSG00000100311	ENSG00000134853	ENSG00000113721									
cyt_prot_p_FGF__FGFR__FGF__FGFR_	Cytoplasm	2.17E-31	P21781, P21802, P12034, P11362, Q9HCT0, O76093, O95750, O43320, P61328, Q9NP95, Q9GZV9, P05230, Q9NSA1, O60258, O15520, Q92915, P10767, P55075, P09038, P31371, Q92913, P08620, P11487, Q92914	pFFrFFr	FGF1, FGF2, FGFR1, FGFR2	ENSG00000113578	ENSG00000138685	ENSG00000077782	ENSG00000066468								
cyt_prot_pFGF__FGFR__FGFR_	Cytoplasm	4.93E-16	O43320, O76093, Q92914, P21781, P61328, O15520, P05230, Q9GZV9, Q92915, Q9NSA1, P09038, Q9HCT0, Q92913, P08620, P31371, P21802, P55075, P10767, O95750, Q9NP95, P11362, O60258, P12034, P11487	pFFrFr	FGF1, FGF2, FGFR1, FGFR2	ENSG00000113578	ENSG00000138685	ENSG00000077782	ENSG00000066468								
cyt_prot_p_IGF__IGF1R__IGF1R_	Cytoplasm	5.14E-19	P05019, , P01344, P08069	pIIrIr	IGF1, IGF2, IGF1R	ENSG00000017427	ENSG00000167244	ENSG00000140443									
cyt_prot_p_INS__INSR__INSR_	Cytoplasm	6.86E-17	P01308, P06213	pINS_Isr_Isr	INS, INSR	ENSG00000254647	ENSG00000171105										
cyt_prot_p_IGF__IGF1R__IGF1R__IGF_	Cytoplasm	6.08E-38	P05019, , P01344, P08069	pIIrIrI	IGF1, IGF2, IGF1R	ENSG00000017427	ENSG00000167244	ENSG00000140443									
cyt_prot_p_INS__INSR__INSR__INS_	Cytoplasm	3.16E-34	P01308, P06213	pINS_Isr_Isr_INS	INS, INSR	ENSG00000254647	ENSG00000171105										
cyt_prot_p_IGF__IGF1R__IGF1R__IRS_	Cytoplasm	3.75E-19	, P35568, P01344, P05019, Q9Y4H2, P08069	pIIrIr_IRS	IGF1, IGF2, IGF1R, IRS1, IRS2	ENSG00000017427	ENSG00000167244	ENSG00000140443	ENSG00000169047	ENSG00000185950							
cyt_prot_p_INS__INSR__INSR__IRS_	Cytoplasm	4.96E-17	P01308, P06213, P35568, Q9Y4H2	pINS_Isr_Isr_IRS	INS, INSR, IRS1, IRS2	ENSG00000254647	ENSG00000171105	ENSG00000169047	ENSG00000185950								
cyt_prot_p_INS__IGF__IGF1R__IGF1R__IGF__IRS_	Cytoplasm	4.43E-38	P08069, Q9Y4H2, P05019, P35568, P01308, , P01344	pIIrIrI_IRS	IGF1, IGF2, IGF1R, IGF2R, IRS1, IRS2	ENSG00000017427	ENSG00000167244	ENSG00000140443	ENSG00000197081	ENSG00000169047	ENSG00000185950						
cyt_prot_p_INS__INSR__INSR__INS__IRS_	Cytoplasm	2.28E-34	P01308, P06213, P35568, Q9Y4H2	pINS_Isr_Isr_INS_IRS	INS, INSR, IRS1, IRS2	ENSG00000254647	ENSG00000171105	ENSG00000169047	ENSG00000185950								
cyt_prot_SPRY2__EGF__EGFR__ERBB2_	Cytoplasm	2.83E-18	O43597, P01133, P00533, P04626	Sp_EE1E2	SPRY2, EGF, EGFR, ERBB2	ENSG00000136158	ENSG00000138798	ENSG00000146648	ENSG00000141736								
cyt_prot_SPRY2__EGF__EGFR__EGFRvIII_	Cytoplasm	1.04E-29	O43597, P01133, P00533	Sp_EE1Ev3	SPRY2, EGF, EGFR	ENSG00000136158	ENSG00000138798	ENSG00000146648									
cyt_prot_SPRY2__EGF__EGFR__EGFR_	Cytoplasm	7.09E-18	O43597, P01133, P00533	Sp_EE1E1	SPRY2, EGF, EGFR	ENSG00000136158	ENSG00000138798	ENSG00000146648									
cyt_prot_SPRY2__EGF__EGFR__EGF__EGFR_	Cytoplasm	1.66E-35	O43597, P01133, P00533	Sp_EE1EE1	SPRY2, EGF, EGFR	ENSG00000136158	ENSG00000138798	ENSG00000146648									
cyt_prot_SPRY2__EGF__EGFR__ERBB3_	Cytoplasm	1.28E-18	O43597, P01133, P00533, P21860	Sp_EE1E3	SPRY2, EGF, EGFR, ERBB3	ENSG00000136158	ENSG00000138798	ENSG00000146648	ENSG00000065361								
cyt_prot_SPRY2__EGF__EGFR__NRG1__ERBB3_	Cytoplasm	6.66E-34	O43597, P01133, P00533, Q02297, P21860	Sp_EE1HE3	SPRY2, EGF, EGFR, NRG1, ERBB3	ENSG00000136158	ENSG00000138798	ENSG00000146648	ENSG00000157168	ENSG00000065361							
cyt_prot_SPRY2__EGF__EGFR__ERBB4_	Cytoplasm	1.54E-46	O43597, P01133, P00533, Q15303	Sp_EE1E4	SPRY2, EGF, EGFR, ERBB4	ENSG00000136158	ENSG00000138798	ENSG00000146648	ENSG00000178568								
cyt_prot_SPRY2__EGF__ERBB2__NRG1__ERBB3_	Cytoplasm	1.66E-61	P00533, Q15303, P21860, O43597, P04626, P01133, Q02297	Sp_EE1HE4	SPRY2, EGF, EGFR, NRG1, ERBB4	ENSG00000136158	ENSG00000138798	ENSG00000146648	ENSG00000157168	ENSG00000178568							
cyt_prot_SPRY2__ERBB2__NRG1__ERBB3_	Cytoplasm	8.87E-18	P00533, Q15303, P21860, O43597, P04626, Q02297	Sp_E2HE3	SPRY2, ERBB2, NRG1, ERBB3	ENSG00000136158	ENSG00000141736	ENSG00000157168	ENSG00000065361								
cyt_prot_SPRY2__NRG1__ERBB3__EGFRvIII_	Cytoplasm	1.18E-28	O43597, Q02297, P21860	Sp_HE3Ev3	SPRY2, NRG1, ERBB3	ENSG00000136158	ENSG00000157168	ENSG00000065361	ENSG00000178568								
cyt_prot_SPRY2__EGFR__NRG1__ERBB3_	Cytoplasm	1.03E-16	O43597, P00533, Q02297, P21860	Sp_E1HE3	SPRY2, EGFR, NRG1, ERBB3	ENSG00000136158	ENSG00000146648	ENSG00000157168	ENSG00000065361								
cyt_prot_SPRY2__NRG1__ERBB3__ERBB4_	Cytoplasm	1.84E-45	O43597, Q02297, P21860, Q15303	Sp_HE3E4	SPRY2, NRG1, ERBB3, ERBB4	ENSG00000136158	ENSG00000157168	ENSG00000065361	ENSG00000178568								
cyt_prot_SPRY2__NRG1__ERBB3__NRG1__ERBB4_	Cytoplasm	1.16E-60	O43597, Q02297, P21860, Q15303	Sp_HE3HE4	SPRY2, NRG1, ERBB3, ERBB4	ENSG00000136158	ENSG00000157168	ENSG00000065361	ENSG00000178568								
cyt_prot_SPRY2__ERBB2__NRG1__ERBB4_	Cytoplasm	3.71E-45	O43597, P04626, Q02297, Q15303	Sp_E2HE4	SPRY2, ERBB2, NRG1, ERBB4	ENSG00000136158	ENSG00000141736	ENSG00000157168	ENSG00000178568								
cyt_prot_SPRY2__NRG1__ERBB4__EGFRvIII_	Cytoplasm	4.96E-56	Q02997, Q15303, O43597, Q02297	Sp_HE4Ev3	SPRY2, NRG1, ERBB4	ENSG00000136158	ENSG00000157168	ENSG00000178568									
cyt_prot_SPRY2__EGFR__NRG1__ERBB4_	Cytoplasm	4.32E-44	O43597, P00533, Q02297, Q15303	Sp_E1HE4	SPRY2, EGFR, NRG1, ERBB4	ENSG00000136158	ENSG00000146648	ENSG00000157168	ENSG00000178568								
cyt_prot_SPRY2__ERBB3__NRG1__ERBB4_	Cytoplasm	1.71E-45	O43597, P21860, Q02297, Q15303	Sp_E3HE4	SPRY2, ERBB3, NRG1, ERBB4	ENSG00000136158	ENSG00000065361	ENSG00000157168	ENSG00000178568								
cyt_prot_SPRY2__NRG1__ERBB4__ERBB4_	Cytoplasm	7.20E-73	O43597, Q02297, Q15303	Sp_HE4E4	SPRY2, NRG1, ERBB4	ENSG00000136158	ENSG00000157168	ENSG00000178568									
cyt_prot_SPRY2__NRG1__ERBB4__NRG1__NRG4_	Cytoplasm	2.46E-88	O43597, Q02297, Q15303	Sp_HE4HE4	SPRY2, NRG1, ERBB4	ENSG00000136158	ENSG00000157168	ENSG00000178568									
cyt_prot_SPRY2__HGF__MET__MET_	Cytoplasm	8.62E-15	O43597, P14210, P08581	Sp_HGF_Met_Met	SPRY2, HGF, MET	ENSG00000136158	ENSG00000019991	ENSG00000105976									
cyt_prot_SPYR2__HGF__MET__HGF__MET_	Cytoplasm	1.37E-28	O43597, P14210, P08581	Sp_HGF_Met_HGF_Met	SPRY2, HGF, MET	ENSG00000136158	ENSG00000019991	ENSG00000105976									
cyt_prot_SPRY2__PDGFB__PDGFRB__PDGFB__PDGFRB_	Cytoplasm	3.55E-43	P16234, O43597, P01127, P04085, P09619, P01133	Sp_PPrPPr	SPRY2, PDGFB, PDGFRA, PDGFRB	ENSG00000136158	ENSG00000100311	ENSG00000134853	ENSG00000113721								
cyt_prot_SPRY2__PDGFB__PDGFRB__PDGFRB_	Cytoplasm	5.30E-40	P16234, O43597, P01127, P04085, P09619, P01133	Sp_PPrPr	SPRY2, PDGFB, PDGFRA, PDGFRB	ENSG00000136158	ENSG00000100311	ENSG00000134853	ENSG00000113721								
cyt_prot_SPRY2__FGF__FGFR__FGF__FGFR_	Cytoplasm	3.59E-33	P21781, O43597, P21802, P12034, P11362, Q9HCT0, O76093, O95750, O43320, P61328, Q9NP95, Q9GZV9, P05230, Q9NSA1, O60258, O15520, Q92915, P10767, P55075, P09038, P31371, Q92913, P08620, P11487, Q92914	Sp_FFrFFr	SPRY2, FGF1, FGF2, FGFR1, FGFR2	ENSG00000136158	ENSG00000113578	ENSG00000138685	ENSG00000077782	ENSG00000066468							
cyt_prot_SPRY2__FGF__FGFR__FGFR_	Cytoplasm	8.14E-18	P21781, O43597, P21802, P12034, P11362, Q9HCT0, O76093, O95750, O43320, P61328, Q9NP95, Q9GZV9, P05230, Q9NSA1, O60258, O15520, Q92915, P10767, P55075, P09038, P31371, Q92913, P08620, P11487, Q92914	Sp_FFrFr	SPRY2, FGF1, FGF2, FGFR1, FGFR2	ENSG00000136158	ENSG00000113578	ENSG00000138685	ENSG00000077782	ENSG00000066468							
cyt_prot_SPRY2__IGF__IGF1R__IGF1R_	Cytoplasm	8.49E-21	, P08069, O43597, P01344, P05019	Sp_IIrIr	SPRY2, IGF1, IGF2, IGF1R	ENSG00000136158	ENSG00000017427	ENSG00000167244	ENSG00000140443								
cyt_prot_SPRY2__INS__INSR__INSR_	Cytoplasm	1.13E-18	O43597, P01308, P06213	Sp_INS_Isr_Isr	SPRY2, INS, INSR	ENSG00000136158	ENSG00000254647	ENSG00000171105									
cyt_prot_SPRY2__IGF__IGF1R__IGF1R__IGF_	Cytoplasm	1.00E-39	, P08069, O43597, P01344, P05019	Sp_IIrIrI	SPRY2, IGF1, IGF2, IGF1R, IGF2R	ENSG00000136158	ENSG00000017427	ENSG00000167244	ENSG00000140443								
cyt_prot_SPRY2__INS__INSR__INSR__INS_	Cytoplasm	5.22E-36	O43597, P01308, P06213	Sp_INS_Isr_Isr_INS	SPRY2, INS, INSR	ENSG00000136158	ENSG00000254647	ENSG00000171105									
cyt_prot_int_EGF__EGFR__ERBB2_	Cytoplasm	6.12E-16	P01133, P00533, P04626	EE1E2int	EGF, EGFR, ERBB2	ENSG00000138798	ENSG00000146648	ENSG00000141736									
cyt_prot_int_EGF__EGFR__EGFRvIII_	Cytoplasm	2.25E-27	P01133, P00533	EE1Ev3int	EGF, EGFR	ENSG00000138798	ENSG00000146648										
cyt_prot_int_EGF__EGFR__EGFR_	Cytoplasm	2.12E-15	P01133, P00533	EE1E1int	EGF, EGFR	ENSG00000138798	ENSG00000146648										
cyt_prot_int_EGF__EGFR__EGF__EGFR_	Cytoplasm	4.96E-33	P01133, P00533	EE1EE1int	EGF, EGFR	ENSG00000138798	ENSG00000146648										
cyt_prot_int_EGF__EGFR__ERBB3_	Cytoplasm	2.78E-16	P01133, P00533, P21860	EE1E3int	EGF, EGFR, ERBB3	ENSG00000138798	ENSG00000146648	ENSG00000065361									
cyt_prot_int_EGF__EGFR__NRG1__ERBB3_	Cytoplasm	1.44E-31	P01133, P00533, Q02297, P21860	EE1HE3int	EGF, EGFR, NRG1, ERBB3	ENSG00000138798	ENSG00000146648	ENSG00000157168	ENSG00000065361								
cyt_prot_int_EGF__EGFR__ERBB4_	Cytoplasm	3.33E-44	P01133, P00533, Q15303	EE1E4int	EGF, EGFR, ERBB4	ENSG00000138798	ENSG00000146648	ENSG00000178568									
cyt_prot_int_EGF__EGFR__NRG1__ERBB4_	Cytoplasm	3.59E-59	P01133, P00533, Q02297, Q15303	EE1HE4int	EGF, EGFR, NRG1, ERBB4	ENSG00000138798	ENSG00000146648	ENSG00000157168	ENSG00000178568								
cyt_prot_int_ERBB2__NRG1__ERBB3_	Cytoplasm	2.08E-16	P04626, Q02297, P21860	E2HE3int	ERBB2, NRG1, ERBB3	ENSG00000141736	ENSG00000157168	ENSG00000065361									
cyt_prot_int_NRG1__ERBB3__EGFRvIII_	Cytoplasm	2.76E-27	Q02297, P21860	HE3Ev3int	NRG1, ERBB3	ENSG00000157168	ENSG00000065361										
cyt_prot_int_EGFR__NRG1__ERBB3_	Cytoplasm	2.23E-14	P00533, Q02297, P21860	E1HE3int	EGFR, NRG1, ERBB3	ENSG00000146648	ENSG00000157168	ENSG00000065361									
cyt_prot_int_NRG1__ERBB3__ERBB4_	Cytoplasm	4.32E-44	Q02297, P21860, Q15303	HE3E4int	NRG1, ERBB3, ERBB4	ENSG00000157168	ENSG00000065361	ENSG00000178568									
cyt_prot_int_NRG1__ERBB3__NRG1__ERBB4_	Cytoplasm	2.71E-59	Q02297, P21860, Q15303	HE3HE4int	NRG1, ERBB3, ERBB4	ENSG00000157168	ENSG00000065361	ENSG00000178568									
cyt_prot_int_ERBB2__NRG1__ERBB4_	Cytoplasm	8.70E-44	P04626, Q02297, Q15303	E2HE4int	ERBB2, NRG1, ERBB4	ENSG00000141736	ENSG00000157168	ENSG00000178568									
cyt_prot_int_NRG1__ERBB4__EGFRvIII_	Cytoplasm	1.16E-54	Q02297, Q15303	HE4Ev3int	NRG1, ERBB4	ENSG00000157168	ENSG00000178568										
cyt_prot_int_EGFR__NRG1__ERBB4_	Cytoplasm	9.36E-42	P00533, Q02297, Q15303	E1HE4int	EGFR, NRG1, ERBB4	ENSG00000146648	ENSG00000157168	ENSG00000178568									
cyt_prot_int_ERBB3__NRG1__ERBB4_	Cytoplasm	4.01E-44	P21860, Q02297, Q15303	E3HE4int	ERBB3, NRG1, ERBB4	ENSG00000065361	ENSG00000157168	ENSG00000178568									
cyt_prot_int_NRG1__ERBB4__ERBB4_	Cytoplasm	1.68E-71	Q02297, Q15303	HE4E4int	NRG1, ERBB4	ENSG00000157168	ENSG00000178568										
cyt_prot_int_NRG1__ERBB4__NRG1__ERBB4_	Cytoplasm	5.77E-87	Q02297, Q15303	HE4HE4int	NRG1, ERBB4	ENSG00000157168	ENSG00000178568										
cyt_prot_int_HGF__MET__MET_	Cytoplasm	2.02E-13	P14220, P08581, P14210	HGF_Met_Metint	HGF, MET	ENSG00000019991	ENSG00000105976										
cyt_prot_int_HGF__MET__HGF__MET_	Cytoplasm	3.21E-27	P14220, P08581, P14210	HGF_Met_HGF_Metint	HGF, MET	ENSG00000019991	ENSG00000105976										
cyt_prot_int_PDGFB__PDGFRB__PDGFB__PDGFRB_	Cytoplasm	8.30E-42	P16234, P01127, P04085, P09619, P01133	PPrPPrint	PDGFB, PDGFRA, PDGFRB	ENSG00000100311	ENSG00000134853	ENSG00000113721									
